value   latitude            longitude
15.96   5.6949              115.65692999999997
16.0    4.3844095           113.9718246
17.41   34.44833            130.925833
18.44   34.4137             130.84232999999995
18.5    40.402566           139.67832999999996
18.7    3.315616            112.48611000000005
18.91   35.47815            132.59126600000002
19.46   2.2640300000000004  110.60756000000003
19.79   33.488600000000005  129.442
19.98   33.361166           129.296833
20      32.7102             129.81343000000004
20.02   14.378609999999998  120.22935000000008
20.07   33.427600000000005  129.16766000000007
20.72   33.67926            129.87932999999998
21      42.84551            144.51082999999994
21.2    9.14545             118.46186000000002
21.25,1.973533,108.26157999999998
21.35,7.7695,116.97486000000004
21.37,1.8713499999999998,106.87977999999998
21.4,17.6662,120.23883000000001
21.5,22.135416,122.70501600000001
21.55,8.39915,117.66854999999998
21.91,2.187325,109.26157999999998
